plate,mjd,fiberid,fibermag_r,petromag_r,z
2883,54525,563,17.12454,15.43723,0.04654011
618,52049,436,17.78127,16.79497,0.06401156
620,52375,427,16.8235,15.56423,0.06870097
622,52054,550,17.46512,16.18495,0.08904875
432,51884,60,17.50661,15.82084,0.07132561
448,51900,89,18.29341,17.28877,0.08110255
448,51900,93,16.71808,15.05013,0.04568218
495,51988,287,18.11242,17.23096,0.07347717
495,51988,209,17.35845,16.32075,0.07146611
441,51868,353,18.47463,17.48396,0.09282498
494,51915,50,17.95884,16.92075,0.09989349
495,51988,267,17.16866,15.36268,0.07508706
495,51988,264,17.00733,15.89857,0.04821121
434,51885,122,16.71959,14.93119,0.02858314
446,51899,293,18.36414,17.44757,0.0620941
446,51899,213,16.14782,14.32856,0.03159124
496,51988,183,18.5148,17.62474,0.06683574
491,51942,513,17.82136,16.891,0.08207186
483,51924,508,17.1747,15.81041,0.06894046
483,51924,550,18.33564,17.45235,0.09741067
491,51942,395,18.33157,17.32484,0.09623619
1735,53035,623,18.80274,17.81801,0.07679508
448,51900,378,17.10621,15.38997,0.04091277
448,51900,361,18.05795,17.1787,0.08408604
496,51988,330,18.79958,17.60077,0.06572017
496,51988,325,16.76415,14.98786,0.06596822
497,51989,619,18.10322,16.96872,0.06879677
350,51691,564,17.20703,15.38891,0.08329418
354,51792,536,18.51961,17.10401,0.08522584
431,51877,166,17.0495,15.74107,0.06210007
438,51884,123,18.59969,17.35343,0.07652015
438,51884,207,17.30376,15.96611,0.06113768
438,51884,195,18.03154,16.94619,0.06076395
438,51884,577,17.2261,15.5461,0.04078527
442,51882,197,17.62499,16.32403,0.0726637
442,51882,519,18.10024,16.79308,0.07269315
1733,53047,24,17.40546,15.97685,0.07974432
434,51885,326,16.15704,14.19725,0.04165879
1733,53047,35,18.02042,16.87038,0.09623542
1733,53047,584,18.43289,17.19467,0.08842316
1734,53034,597,18.38086,16.50823,0.08619457
1736,53052,5,16.74878,15.27626,0.04165891
1736,53052,636,16.67269,14.47777,0.0203541
1737,53055,82,17.82635,16.53824,0.05036002
1779,53089,49,18.14208,16.26994,0.06019641
1779,53089,23,17.54626,15.90246,0.05889655
297,51959,341,18.83781,17.40322,0.06583275
296,51984,572,18.16795,17.12363,0.07864487
527,52342,244,17.7485,16.16944,0.08310942
527,52342,1,17.43945,16.34771,0.05998553
298,51955,405,17.86597,16.07154,0.07772688
298,51955,442,17.66551,16.42645,0.0795812
300,51943,325,16.92122,15.40114,0.06607722
300,51943,457,17.21687,15.75439,0.09005927
448,51900,242,18.69254,17.42833,0.09766116
488,51914,103,17.76382,16.43974,0.08110395
486,51910,589,18.42889,17.58999,0.09268337
488,51914,165,17.39469,15.62779,0.04078507
496,51988,232,18.27294,17.0604,0.06551787
2947,54533,78,16.35854,14.43815,0.03755082
615,52347,191,17.88632,16.37056,0.0931208
619,52056,198,17.5031,16.03511,0.08358596
621,52055,339,18.19626,17.159,0.08713202
487,51943,177,18.3113,17.12169,0.09340791
490,51929,198,18.26505,16.90898,0.09651954
609,52339,144,17.26287,15.5787,0.07447857
621,52055,380,18.35877,17.23087,0.06430495
623,52051,368,18.17142,16.68131,0.08458351
484,51907,391,17.13829,15.36289,0.04521846
613,52345,325,17.34294,16.19945,0.07487337
619,52056,42,18.02845,16.6436,0.06523959
494,51915,527,17.60451,16.37298,0.09759122
609,52339,449,17.54484,15.63889,0.07595266
609,52339,488,17.18326,15.45864,0.0761826
617,52072,587,17.53569,15.91981,0.07476825
621,52055,565,17.6163,15.95199,0.08755971
623,52051,487,17.20152,15.4891,0.04753688
623,52051,56,17.08113,15.59595,0.06149226
619,52056,618,18.43047,17.32561,0.06422488
629,52051,193,16.15229,14.23631,0.03106866
627,52144,51,16.82483,15.20086,0.03832496
627,52144,38,18.22781,17.1212,0.07249864
631,52079,489,17.68477,16.52216,0.08237994
506,52022,211,16.45062,14.59174,0.07207265
506,52022,57,17.04753,15.65022,0.06184291
517,52024,256,16.79704,14.50926,0.02050534
517,52024,255,16.27926,14.17899,0.01938336
519,52283,215,18.33649,17.23371,0.08039641
520,52288,51,17.84441,16.80823,0.07743617
521,52326,131,17.33719,16.01397,0.08755957
503,51999,230,17.90598,16.96016,0.06040074
517,52024,31,17.75337,16.61465,0.07892801
520,52288,141,16.98652,15.23656,0.07596525
520,52288,62,18.20138,17.09021,0.07800303
521,52326,188,17.9622,16.62647,0.0771164
523,52026,185,17.63629,16.43569,0.0627024
526,52312,229,16.93338,15.43717,0.05081615
505,52317,79,17.73158,16.44312,0.08335543
516,52017,195,17.32014,16.02189,0.07955025
523,52026,141,18.01973,16.65292,0.08061182
530,52026,278,17.23158,15.62947,0.03306566
533,51994,78,16.97001,15.736,0.05617319
539,52017,226,16.87627,15.10543,0.04157064
540,51996,32,16.7453,15.3321,0.03918349
2954,54561,169,17.83811,16.58933,0.09035062
2954,54561,197,17.91657,16.37493,0.08883283
506,52022,469,17.87503,16.61891,0.0759799
519,52283,357,18.30678,17.4625,0.07803418
520,52288,438,18.88429,17.71627,0.08023018
524,52027,496,17.53774,16.25105,0.07203358
533,51994,544,17.09716,15.57276,0.05440916
535,51999,424,17.94624,16.87577,0.05465046
537,52027,463,18.15791,17.1233,0.07902645
2954,54561,360,17.33719,15.79394,0.0611943
2954,54561,437,18.13707,17.11651,0.08854673
2954,54561,430,17.39359,15.99389,0.08050598
518,52282,544,16.87976,15.26703,0.07626269
521,52326,447,18.45205,17.43882,0.08517029
584,52049,135,18.19166,17.14094,0.0557804
535,51999,532,18.5812,17.64925,0.08609633
536,52024,327,16.54139,14.12745,0.02770615
518,52282,456,18.13972,17.17055,0.07977509
518,52282,455,17.90002,16.37496,0.08540813
523,52026,373,16.91223,14.80088,0.06486088
593,52026,302,16.49733,14.79288,0.03112323
270,51909,369,18.50237,17.58304,0.09550718
504,52316,46,18.04986,16.76987,0.08933273
512,51992,220,16.93568,15.00734,0.07258271
513,51989,139,17.41775,15.91542,0.07447597
513,51989,43,17.45834,15.99994,0.07636464
515,52051,2,17.99952,16.56367,0.07931709
