aid,z,log_M,logage,logZ,alpha_fe,sigma_e,ra,dec,Scale,Rhlr,e,ng,_RA,_DE,Separation
spec-0629-52051-0193,0.03106866,10.982,10.086109650837944,0.28821174088840396,0.206680753631212,182.62399441203905,250.73460994,43.99690057,0.622,5.82,0.71,3.91,250.73461,43.9969,0.0020578747962355652
spec-0631-52079-0003,0.03050609,10.555,10.137596155902372,0.07862539059453066,0.16960188556257,129.18428042306437,254.53561343,40.89570301,0.61,3.87,0.42,4.75,254.53561,40.8957,0.014301758982041814
spec-0631-52079-0294,0.06131623,10.561,10.09144224999551,-0.05943265015240009,0.0435195597316761,109.50070288323862,252.21789146,41.14442927,1.184,3.7,0.18,3.09,252.21789,41.14443,0.004751056031010031
spec-0631-52079-0333,0.03236423,10.764,10.061621584130524,0.007731818697316637,-0.0735186943707316,128.32030428610847,251.90374232,42.69264348,0.647,4.06,0.69,3.64,251.90374,42.69264,0.013951159089244856
spec-0631-52079-0489,0.08237994,10.904,10.155008377929365,0.14800766795699605,-0.028378446207024,167.12650820857579,253.24647496,42.55916628,1.551,5.07,0.46,5.04,253.24647,42.55917,0.01877046155035762
spec-0632-52071-0218,0.06279905,10.957,10.148957156855506,0.30330279505369867,0.167379513193744,151.63005311674937,253.63276845,37.63140734,1.21,6.22,0.23,4.76,253.63277,37.63141,0.01054648294812594
spec-0632-52071-0505,0.06114577,10.726,10.073888846154112,-0.04362644928643428,0.0913777573190938,157.26092742161836,254.00284203,38.52038505,1.18,3.48,0.32,3.85,254.00284,38.52038,0.019057919195086207
spec-0632-52071-0532,0.06127872,10.62,10.109602361427655,0.08288146038317659,-0.0334823962160723,131.0025281500182,254.18768895,39.34328841,1.183,3.86,0.36,3.37,254.18769,39.34329,0.0064272774363445416
spec-0633-52079-0064,0.03473412,10.844,10.142578872959128,0.23848019543402124,0.189161787249209,148.9746500283096,256.07607206,38.85454349,0.692,4.51,0.41,3.03,256.07607,38.85454,0.013827739719160844
spec-0633-52079-0101,0.03539198,10.242,10.133051909630655,0.05568230689705378,-0.115373471805194,104.23295957291477,256.05018548,39.03427471,0.705,3.18,0.5,5.35,256.05019,39.03427,0.021148645519544373
spec-0633-52079-0179,0.0823813,11.015,10.127128646388922,0.0639927650558458,0.0751603225575128,186.99998484107408,255.29230688,39.16651505,1.551,6.04,0.17,5.68,255.29231,39.16651,0.02015805812836815
spec-0633-52079-0183,0.03360065,10.996,10.143333980872788,0.2105192679681442,0.137479182568156,166.7520809730057,254.82896933,38.86629749,0.671,4.83,0.6,2.52,254.82897,38.8663,0.009229096880005738
spec-0633-52079-0396,0.06108299,11.04,10.139891407247593,0.35083867778883693,0.22151351256016,155.30036585593183,254.15295642,39.32710131,1.179,7.54,0.08,4.38,254.15296,39.3271,0.011028572018780032
spec-0634-52164-0116,0.08099643,10.829,10.107913820792536,0.03907429455455324,0.468026347886067,148.41665406403624,310.51136594,-5.98088703,1.527,9.61,0.03,7.71,310.51137,-5.98089,0.018045137130454074
spec-0635-52145-0415,0.08593483,11.098,10.049942535977825,0.38200886717111915,0.158067427002528,215.12533758502627,311.08952198,-5.94613603,1.611,9.72,0.17,6.67,311.08952,-5.94614,0.01595382055942965
spec-0637-52174-0425,0.06250599,10.839,10.147403624199246,0.2299182352565243,0.0207002052127831,157.5671417447183,315.56126258,-5.54980865,1.204,5.0,0.52,5.1,315.56126,-5.54981,0.010444122139981143
spec-0637-52174-0457,0.09634795,10.69,10.115242862321926,-0.10507344008002165,0.0365938088120299,119.27488845637481,315.56162524,-6.7125186,1.785,3.72,0.69,1.94,315.56162,-6.71252,0.019400778439217947
spec-0638-52081-0018,0.06531882,11.185,9.983863728404653,0.17538069760359845,0.0409459221490198,165.19320239237857,318.21866636,-7.76063149,1.257,8.86,0.29,3.71,318.21867,-7.76063,0.014048352120853709
spec-0639-52146-0482,0.02761098,10.576,10.119046711469808,0.10365556227278117,0.0577749858859337,119.92901140941382,319.85802885,-6.7584151,0.555,2.63,0.51,3.0,319.85803,-6.75841,0.01881467057095989
spec-0639-52146-0486,0.06272811,11.076,10.155929557205532,0.20409123434366386,0.192243692552408,169.52604276338454,319.85913895,-6.44679973,1.209,6.67,0.54,4.24,319.85914,-6.4468,0.003879826258937871
spec-0639-52146-0565,0.08917791,10.829,10.156818334575934,0.24246619159913896,0.298802630940985,171.4598079152205,319.89998043,-5.85840049,1.665,3.85,0.07,5.41,319.89998,-5.8584,0.002341588028660225
spec-0639-52146-0566,0.09062609,10.977,10.13274920836196,0.10761080655691452,0.174524699255565,179.48337356025795,320.18885576,-6.2086905,1.69,7.84,0.09,7.48,320.18886,-6.20869,0.015280855405824722
spec-0640-52200-0084,0.08393165,10.543,10.147062973114675,0.11563948566537881,-0.536808596198324,144.72182286127958,321.38898535,-8.48174016,1.58,4.32,0.29,7.55,321.38898,-8.48174,0.01905805811794712
spec-0640-52200-0177,0.08610862,10.389,10.024517359789623,0.037820253040567714,-0.0257910568116898,111.6843904435578,321.48077817,-7.2929352,1.616,2.62,0.56,4.84,321.48078,-7.29293,0.019827777289892507
spec-0641-52176-0088,0.09524137,11.094,10.077773516785987,0.33473187029380597,0.191991357068498,194.81227413449662,323.4644632,-8.62484697,1.766,5.93,0.32,4.42,323.46446,-8.62485,0.015770552125592016
spec-0644-52173-0274,0.09963876,10.952,10.163209975397772,0.07064836762030255,0.214144995115572,157.35988214967622,327.36059926,-8.18784087,1.839,14.17,0.06,7.72,327.3606,-8.18784,0.004094187587909723
spec-0644-52173-0416,0.08484805,11.279,10.162397142967617,0.258773627249334,0.177688732048946,202.73280408028856,327.55852268,-7.15053335,1.593,7.5,0.09,4.1,327.55852,-7.15053,0.015397572080707429
spec-0644-52173-0454,0.09061902,10.735,10.159492342374953,0.2470358421423046,0.0180309378062611,171.3907892802809,327.80611873,-6.84889874,1.689,5.32,0.22,7.38,327.80612,-6.8489,0.0064172595556152645
spec-0645-52203-0074,0.07119211,10.246,10.005249083116949,0.04630783832522635,,94.89604687747195,351.07485963,-9.87459088,1.358,2.27,0.56,2.74,351.07486,-9.87459,0.00342903326699227
spec-0645-52203-0365,0.08445249,10.671,10.08974323998247,0.05908568528817759,0.504739586311002,114.88984655809556,349.38512016,-8.76908152,1.588,3.46,0.7,2.54,349.38512,-8.76908,0.005501531514957792
spec-0645-52203-0378,0.08308725,10.926,10.07519509885925,0.10163955272608001,0.0936271027616647,162.39587699804895,349.41133989,-8.9969964,1.563,5.79,0.59,4.28,349.41134,-8.997,0.012965900693353925
spec-0645-52203-0398,0.08219727,10.845,10.15013007858873,0.2198923699947254,-0.0361124428296056,166.87438644586024,349.35798515,-9.27322075,1.548,5.05,0.26,3.9,349.35798,-9.27322,0.01849583593424779
spec-0645-52203-0575,0.09974243,11.076,10.146489059761674,0.2506412916269467,0.357090040937882,205.61521694571687,350.66639248,-8.56358989,1.841,4.88,0.33,3.74,350.66639,-8.56359,0.008837340418386987
spec-0646-52523-0084,0.08361857,10.332,10.025262467182019,-0.004206940804152181,0.809893937896358,105.53392826101316,352.28428071,-10.99518721,1.572,2.33,0.49,2.43,352.28428,-10.99519,0.010352652689661334
spec-0646-52523-0254,0.08226554,10.638,10.135521002788764,0.10220096120300531,,126.16805913311197,351.4773865,-10.45973412,1.55,4.5,0.68,2.76,351.47739,-10.45973,0.0193265555337757
spec-0646-52523-0322,0.09790853,11.06,9.919313270527784,0.2506507457786477,-0.0615904174164933,160.46302900262612,351.35000026,-8.90982177,1.813,5.82,0.69,1.84,351.35,-8.90982,0.006438747103118645
spec-0647-52553-0472,0.06089477,11.13,10.048177695422899,0.11333117637842469,-0.0639821692116478,172.20211537545174,353.996897,-9.44205002,1.176,6.15,0.39,5.16,353.9969,-9.44205,0.010653925160321147
spec-0648-52559-0046,0.06516008,10.871,10.012208700837313,0.23809997166098454,0.133775282345924,184.03046617336085,357.12039121,-10.72622502,1.252,3.83,0.42,5.78,357.12039,-10.72622,0.018571877896113805
spec-0648-52559-0143,0.07401411,11.596,10.153294176320166,0.3824603490082196,-0.145625531598993,243.59206457732688,356.68143752,-10.09207609,1.406,9.38,0.31,3.34,356.68144,-10.09208,0.016595042299121975
spec-0648-52559-0187,0.08521271,11.324,10.160648148354193,0.33143153977740314,0.21447606889215,235.48308751818755,356.06324707,-10.09975877,1.599,8.82,0.15,5.26,356.06325,-10.09976,0.011289198509907098
spec-0648-52559-0313,0.05697457,10.904,10.14179170357843,0.14812555911907524,0.278683440460281,146.503969893047,355.19396575,-10.35310495,1.105,6.27,0.45,3.84,355.19397,-10.3531,0.02332556454088787
spec-0648-52559-0463,0.06802826,10.976,10.144009827940746,0.12577492296603837,0.0665797118891136,173.75734659908696,356.08136301,-9.90688115,1.302,5.7,0.16,4.88,356.08136,-9.90688,0.011449142372632757
spec-0649-52201-0098,0.07397442,10.496,10.156877958139816,0.07923662055270154,0.265526453685845,116.4315854982271,358.62902438,-10.28236969,1.407,3.14,0.62,4.27,358.62902,-10.28237,0.015554851931217584
spec-0649-52201-0131,0.07724106,10.722,10.085894520174445,0.3262874395781005,-0.0732833810048328,162.86328392455022,358.5753966,-10.41542997,1.462,4.3,0.56,3.92,358.5754,-10.41543,0.01203880386925103
spec-0649-52201-0153,0.07408714,10.518,10.065999358710137,0.1962269121816432,0.39566822185498,152.59191228801825,358.50813976,-10.27639198,1.408,4.38,0.2,7.06,358.50814,-10.27639,0.0071785181382942875
spec-0649-52201-0170,0.07580104,11.098,10.042946478114802,0.3495329537592575,-0.338794035030483,190.43281366825818,358.39791878,-10.46874824,1.438,6.19,0.14,5.49,358.39792,-10.46875,0.0076679671302405505
spec-0649-52201-0349,0.083873,10.742,10.163141063088286,0.036701496432533086,,131.048791158631,357.65461483,-8.85988067,1.576,5.84,0.09,5.04,357.65461,-8.85988,0.017349011640419028
spec-0649-52201-0575,0.07408068,10.458,9.966662218077072,0.1822941439609955,0.70058561176985,117.69298974041826,358.77381752,-9.35364171,1.407,3.03,0.23,6.93,358.77382,-9.35364,0.010747091856708921
spec-0649-52201-0592,0.07595232,11.109,10.134427301248584,0.30891307017403735,0.50282111694949,202.7450004380583,358.79358471,-9.15559407,1.44,6.21,0.26,5.0,358.79358,-9.15559,0.02224652748888173
spec-0649-52201-0598,0.07568144,10.817,10.112821846519205,0.14610410259384474,-0.0454662124891515,141.8278115921654,358.87201359,-9.12130721,1.435,7.28,0.37,4.36,358.87201,-9.12131,0.01623927984414315
spec-0649-52201-0618,0.07688762,11.258,10.142554477825616,0.12725050460550777,,163.129562895492,359.37480147,-9.69483243,1.457,7.32,0.44,2.44,359.3748,-9.69483,0.010185213641084065
spec-0650-52143-0017,0.06494495,11.106,10.120729558155992,0.25098969527739723,0.148922383073031,152.98787790759465,1.0067311,-10.83022245,1.248,7.91,0.11,4.49,1.00673,-10.83022,0.009639519827186086
spec-0650-52143-0180,0.09149973,10.876,10.14657415807165,0.1716746094129491,-0.0178021249144978,138.212476737753,0.29051132,-10.54302083,1.704,9.65,0.01,6.95,0.29051,-10.54302,0.005545595813979621
spec-0651-52141-0095,0.07693373,10.921,9.98463381382268,0.2910650052947895,-0.0533841683764093,168.04448222594556,2.60691132,-11.0370669,1.457,4.08,0.19,2.86,2.60691,-11.03707,0.012095431923101013
spec-0652-52138-0118,0.08456833,10.965,10.164249831306835,0.12756783904585775,0.301640382942218,144.68765760340005,4.34099719,-10.24331396,1.589,7.19,0.2,3.88,4.341,-10.24331,0.017387665090684977
spec-0652-52138-0123,0.08743562,10.753,10.121861444417444,0.08125876635698023,0.189079248947719,147.73390239896656,3.80019205,-11.2233458,1.635,4.46,0.29,7.06,3.80019,-11.22335,0.016763518623486028
spec-0652-52138-0517,0.02218958,10.389,10.055513979275318,0.04112142032812989,0.0693032031224604,98.54413884461144,4.26204737,-9.67965757,0.449,2.52,0.56,3.61,4.26205,-9.67966,0.01279203823098177
spec-0654-52146-0346,0.05372916,11.051,10.117434788232227,0.1865442019738667,-0.0196809147893852,184.3124359980007,6.50738048,-9.53278698,1.046,4.75,0.44,4.17,6.50738,-9.53279,0.011004747635306298
spec-0654-52146-0457,0.09940816,11.238,10.15393862327777,0.33715286434632313,0.146269825901881,221.4624316623297,7.80020733,-9.17161001,1.835,5.78,0.66,3.52,7.80021,-9.17161,0.009489182372666766
spec-0654-52146-0612,0.05473357,11.121,10.126434783211815,0.27319935188113104,0.212089166926902,219.3925311822139,8.91962393,-9.16954046,1.064,6.06,0.45,3.26,8.91962,-9.16954,0.014065032378686223
spec-0654-52146-0620,0.05504119,11.206,10.112513958398873,0.23524671478076967,0.121569219642666,172.1512717532079,8.93134526,-9.06177593,1.07,6.2,0.12,4.12,8.93134,-9.06178,0.02375622964373974
spec-0655-52162-0204,0.06540606,10.922,10.023861971781065,-0.12493289907267831,0.244619814101677,138.7212146910002,9.78490157,-10.97586123,1.26,5.79,0.32,5.14,9.7849,-10.97586,0.007098891796978944
spec-0655-52162-0450,0.05376796,11.116,10.14613913359846,0.2660648140849606,0.205852784524142,174.91722093951108,10.19364711,-8.83474492,1.047,5.29,0.11,3.47,10.19365,-8.83474,0.02047937693077216
spec-0655-52162-0494,0.05822562,10.723,10.114591512464878,0.16230663321053979,0.127214440979313,154.38821521212316,10.2771968,-9.29694483,1.127,3.04,0.44,4.14,10.2772,-9.29694,0.020774728997789916
spec-0655-52162-0510,0.05700626,10.194,10.099300825785557,-0.06844694185546209,0.15494820586205,86.73958409101716,10.3956198,-9.36067635,1.105,2.82,0.0,4.29,10.39562,-9.36068,0.013159190172925907
spec-0655-52162-0535,0.05379623,10.509,10.139691674583476,0.07374575554243887,0.0839885404506157,131.88579717019704,10.29859726,-9.17143233,1.047,4.6,0.42,5.2,10.2986,-9.17143,0.012852438954636551
spec-0656-52148-0148,0.08589669,10.684,10.150778685308174,0.23032766456663797,0.0314708059282387,131.52048550536517,11.69242223,-10.43063187,1.61,3.4,0.11,5.44,11.69242,-10.43063,0.010375748286295103
spec-0656-52148-0221,0.07582729,10.489,10.096519214125374,-0.21532958806156188,-0.293926235088845,122.0866363507461,10.80390833,-9.91125012,1.439,3.34,0.83,5.47,10.80391,-9.91125,0.0059380094049864985
spec-0656-52148-0523,0.09716605,11.116,10.011932362478221,0.3194125926160936,0.217803767530959,167.0559267693682,12.06861189,-8.90338198,1.798,8.23,0.6,4.38,12.06861,-8.90338,0.009797647364011034
spec-0656-52148-0631,0.07736394,11.301,10.15726730415688,0.3066990043981497,0.258551810835442,231.91720104174502,13.03023392,-9.49128585,1.465,7.4,0.05,5.6,13.03023,-9.49129,0.020419036462346506
spec-0657-52177-0059,0.02259914,10.364,9.983504599817946,0.2648174056005577,0.0189494452238488,102.96186466954578,14.07645488,-10.67388109,0.457,3.17,0.29,8.0,14.07645,-10.67388,0.01770436094261311
spec-0657-52177-0104,0.05456739,10.79,10.139790203985301,0.16358651952321845,0.0865921369966729,136.12194533303966,13.88097271,-10.20670154,1.061,4.18,0.83,2.17,13.88097,-10.2067,0.011087238393590606
spec-0657-52177-0108,0.05528618,10.454,10.068388613981522,0.20434947430630404,0.142079449182219,109.54235445630277,13.88570747,-10.04465879,1.074,3.42,0.74,2.82,13.88571,-10.04466,0.009970296800940984
spec-0657-52177-0138,0.09511043,10.816,10.047720765062055,-0.023508112963984983,0.206931825411809,128.97921637131637,13.68795006,-10.89773977,1.765,7.3,0.77,3.15,13.68795,-10.89774,8.547352827125371E-4
spec-0657-52177-0267,0.0794028,11.126,10.160454836569444,0.28951666458497005,-0.354163097688767,191.21396427557107,12.87856063,-10.46308203,1.501,4.23,0.66,3.44,12.87856,-10.46308,0.0076407492177358455
spec-0657-52177-0481,0.07840712,10.904,10.083277344509366,0.152988225317732,0.183851926914208,138.3744778387787,13.3813454,-9.27781773,1.482,5.39,0.35,3.38,13.38134,-9.27782,0.020853591557943082
spec-0657-52177-0513,0.07383443,10.914,10.122840960909517,-0.15077488005452466,0.128487647943644,144.65434814926527,13.62485093,-9.22634718,1.404,4.99,0.69,2.73,13.62485,-9.22635,0.010676331376745472
spec-0657-52177-0519,0.05629095,10.867,10.147201990716018,0.31517929727151794,0.200572699779683,174.03889305908746,13.61554042,-9.86013814,1.093,5.46,0.38,5.14,13.61554,-9.86014,0.006859702628407025
spec-0658-52146-0164,0.02284874,10.582,10.060442614745481,0.19671444658157633,0.108353153668413,132.2233255616105,14.90551516,-10.33247159,0.463,3.33,0.48,3.69,14.90551,-10.33247,0.019150225751516384
spec-0658-52146-0263,0.05392027,10.72,10.15178855385748,0.22065564902124304,0.143538018101209,163.56085686398234,14.08160905,-9.95839937,1.05,4.3,0.48,4.54,14.08161,-9.9584,0.004060841424200017
spec-0659-52199-0164,0.07215199,10.606,10.015028302044938,0.2756505329214679,0.692205470631398,143.33092520070326,17.31488303,-10.32217911,1.375,3.18,0.35,4.44,17.31488,-10.32218,0.01119954894559638
spec-0659-52199-0484,0.06879643,10.733,10.048846845868681,0.13038836053331404,0.216879405731866,158.80787648860928,17.10908405,-9.31710117,1.315,4.48,0.34,6.17,17.10908,-9.3171,0.014991513864959713
spec-0660-52177-0434,0.06233886,10.847,9.967463489260535,0.14587405886327975,0.124338240258658,150.83428255824754,18.84193042,-9.69197199,1.201,4.12,0.12,3.93,18.84193,-9.69197,0.007317393372661601
spec-0662-52147-0003,0.08719552,10.777,10.162061154328914,0.1322683061637855,0.184792194063161,175.82466406965958,23.8634114,-10.4420383,1.633,5.08,0.17,4.66,23.86341,-10.44204,0.00787537954158411
spec-0662-52147-0633,0.04152399,10.754,10.137121309409562,0.12208735675118287,0.102778693448327,152.6197269625581,24.55504188,-9.48340612,0.82,4.09,0.0,7.27,24.55504,-9.48341,0.015481194384158686
spec-0663-52145-0567,0.07795771,10.776,10.029407577244857,0.14127681403693088,-0.159894648475874,156.46412186184517,25.49359649,-8.54404041,1.475,4.8,0.67,4.2,25.4936,-8.54404,0.01258263574735641
spec-0664-52174-0080,0.05100952,10.495,10.138314829367173,0.06450147719643803,0.0906012789966804,126.07840771325378,26.92281255,-9.63885742,0.996,3.11,0.46,5.26,26.92281,-9.63886,0.012968297597202109
spec-0664-52174-0091,0.0517456,10.718,10.150673597999306,0.19332764705256522,0.0457447384895957,125.38272534311704,26.7716492,-10.31017545,1.01,4.88,0.51,3.29,26.77165,-10.31018,0.016623270063420046
spec-0664-52174-0602,0.09117201,10.418,10.09277422735905,-0.08161206663917744,-0.231782425716033,103.83129287200472,27.38195313,-8.20920052,1.698,2.1,0.19,7.4,27.38195,-8.2092,0.011308560495123741
spec-0665-52168-0007,0.05278033,10.091,10.10798412503922,-0.13418204965778313,0.0477993643267015,83.73237404194298,29.62257002,-10.21777183,1.029,3.0,0.2,7.59,29.62257,-10.21777,0.0065883810549780646
spec-0665-52168-0040,0.0528776,11.47,10.150277921019466,0.3675769408556691,0.216577439997836,213.0148259506183,29.09912618,-9.62671621,1.03,9.96,0.3,3.23,29.09913,-9.62672,0.019235059069329836
spec-0665-52168-0047,0.09740838,10.844,10.053857249082572,0.23492846188095778,-0.226985154529472,166.8911604894986,29.03701728,-10.21488944,1.801,5.29,0.15,7.12,29.03702,-10.21489,0.00984540624871009
spec-0665-52168-0458,0.07964668,10.668,10.076132491058102,0.12340470309780045,-0.324886733115498,114.77988282294118,28.55486395,-8.17812742,1.504,4.43,0.1,5.78,28.55486,-8.17813,0.01686367638320287
spec-0666-52149-0051,0.09518605,10.987,10.041457784027987,0.22387649315061448,0.0979539845839716,173.3499819990754,31.22786024,-9.81528194,1.766,3.76,0.53,3.11,31.22786,-9.81528,0.007035698841191233
spec-0666-52149-0065,0.0488264,11.298,10.147659882111492,0.3886175485963218,0.275528971965484,239.77431994384906,31.00007511,-9.10596719,0.956,6.75,0.1,4.71,31.00007,-9.10597,0.02079110887446847
spec-0666-52149-0281,0.06993796,10.3,10.146559650808875,-0.1422788856663483,0.105034956646409,103.12582655677585,29.60087603,-10.13207211,1.336,4.52,0.3,5.77,29.60088,-10.13207,0.015988720856174955
spec-0666-52149-0311,0.04293152,10.822,10.099013686323946,0.23783569707909702,0.0885176982533812,153.03872285271993,29.34486604,-9.50847463,0.847,4.22,0.1,6.02,29.34487,-9.50847,0.02180618594303905
spec-0667-52163-0442,0.09200989,11.119,10.107035084203506,0.19971989563155085,0.118470677943316,162.25808664571124,32.58203061,-7.72504821,1.715,9.64,0.56,4.06,32.58203,-7.72505,0.006801501136095971
spec-0668-52162-0308,0.06982373,10.79,10.048965856955437,0.1052590523718475,-0.00754802335587341,167.5218653638813,33.50297186,-9.01597066,1.334,4.68,0.4,4.24,33.50297,-9.01597,0.007027140373515008
spec-0668-52162-0367,0.05629125,11.132,10.148779992295987,0.2942640550480606,0.112585322158478,178.10181737948477,33.994175,-7.68404571,1.093,9.42,0.43,5.58,33.99417,-7.68405,0.023595010542209333
spec-0668-52162-0475,0.07470094,10.816,10.158855785826425,0.14745191120412146,0.233858626492558,147.55949246947785,34.60756953,-8.54239892,1.419,11.13,0.34,6.35,34.60757,-8.5424,0.004232758002045312
spec-0673-52162-0548,0.08274385,11.133,10.099300405867313,0.06238427368244972,0.131124084864829,165.71409304112998,337.53502264,0.42766702,1.558,5.74,0.4,3.54,337.53502,0.42767,0.014332165669588788
spec-0673-52162-0616,0.05917903,11.16,9.995307209306445,0.1625512734071615,-0.0032887604059466,160.11251404154692,338.13063539,0.68759501,1.145,7.38,0.5,5.4,338.13063,0.68759,0.026490720864390378
spec-0678-52884-0599,0.09116802,10.697,10.022099797691808,0.03094584193043021,0.179170668285065,117.26964787556406,347.53171413,-0.005372,1.699,2.77,0.37,3.87,347.53171,-0.00537,0.016519607275629126
spec-0716-52203-0139,0.07804901,10.5,10.083884255441113,-0.03945747947752042,0.0232269839661799,106.04691317373343,329.02025692,-9.35563119,1.477,4.41,0.64,2.53,329.02026,-9.35563,0.011749359209894566
spec-0716-52203-0210,0.0744672,10.584,10.159878748455059,0.022165452054459786,0.474636203757615,145.86136193572912,328.80708109,-9.30161555,1.415,3.95,0.35,6.37,328.80708,-9.30162,0.016481380782844172
spec-0716-52203-0258,0.07811718,11.503,10.122429652300381,0.3992528705406564,0.237160426308117,253.18653228957348,328.65511588,-9.25954021,1.478,9.14,0.31,3.83,328.65512,-9.25954,0.014658241306607183
spec-0716-52203-0394,0.05951617,10.475,10.14947124279003,0.14693769269101334,-0.0253414246998539,114.42837288831414,329.07563429,-7.82395764,1.151,5.33,0.31,7.62,329.07563,-7.82396,0.017500831679789303
spec-0716-52203-0402,0.08458528,10.971,10.154405736835688,0.19053606896848485,0.125765432639354,191.50607843028342,329.21097513,-7.2647866,1.588,9.48,0.34,7.83,329.21097,-7.26479,0.022032491150461818
spec-0716-52203-0445,0.08589818,11.412,10.148721139862218,0.3284883880488945,0.259452862082279,222.24125427228836,329.33064473,-7.05834729,1.611,8.19,0.25,4.41,329.33064,-7.05835,0.019512923310595516
spec-0716-52203-0511,0.06143747,10.268,10.154276115657646,-0.32069381681621273,-0.0223810450618258,93.57115058176016,329.52704566,-7.90658981,1.185,4.5,0.08,6.22,329.52705,-7.90659,0.01549058139442179
spec-0716-52203-0526,0.09845155,10.551,9.986318794978134,0.14326727443318943,-0.00190439342982848,117.3195872829201,329.42405026,-7.04162867,1.819,2.42,0.34,3.54,329.42405,-7.04163,0.00487728135500259
spec-0716-52203-0611,0.08541109,10.722,10.136359094419156,0.2800213274533163,0.154046058358371,155.07628312036982,330.41131083,-7.31720806,1.603,4.38,0.29,4.11,330.41131,-7.31721,0.007586802654519175
spec-0717-52468-0019,0.06672975,10.749,10.134977405531949,0.20591097459794025,-0.141983796376983,124.0342209569824,331.48748926,-9.45470561,1.279,4.71,0.41,4.22,331.48749,-9.45471,0.01602098027803708
spec-0717-52468-0048,0.0770173,10.859,10.121059051685146,0.305214598382666,0.0162706419234705,153.17494191269134,330.96519398,-9.43882624,1.459,3.9,0.62,2.58,330.96519,-9.43883,0.01957022534609327
spec-0717-52468-0303,0.05674268,11.267,10.127792301124607,0.3658696024058999,0.155368342160213,239.19958083726016,329.38947745,-7.79423305,1.101,5.89,0.36,5.16,329.38948,-7.79423,0.01425773092767837
spec-0717-52468-0503,0.08615456,11.073,10.12695144341391,0.13154402728149714,0.164991056513684,168.6336735385098,330.85498542,-7.78570686,1.615,6.87,0.51,3.65,330.85499,-7.78571,0.01986568841627234
spec-0718-52206-0029,0.08243649,11.326,10.160540988249938,0.35110585847908804,0.180318036018958,186.2622384420503,333.02756606,-9.3257363,1.552,7.95,0.35,4.06,333.02757,-9.32574,0.019321626805988278
spec-0718-52206-0070,0.08381562,10.436,10.031041903097373,-0.01541074871903433,0.341551648946708,108.23063033737368,332.68118178,-9.6858888,1.575,2.91,0.65,4.11,332.68118,-9.68589,0.007652614628406263
spec-0718-52206-0161,0.08203566,10.403,10.080314740152419,-0.05042298567510541,-0.0433459504474741,113.75421590092847,332.24623853,-9.1238532,1.546,2.75,0.26,5.0,332.24624,-9.12385,0.012649564955587252
spec-0718-52206-0185,0.08256298,10.452,10.003916526637772,0.008496884803352193,0.151404058462568,117.34731250057014,332.21167644,-9.3030057,1.554,3.27,0.56,4.71,332.21168,-9.30301,0.01998969707752431
spec-0718-52206-0239,0.07993163,10.99,9.954341621193086,0.35144135486974015,0.0951212578608904,184.89054054786277,332.04903649,-9.38446089,1.51,4.56,0.43,5.42,332.04904,-9.38446,0.012872017709156927
spec-0718-52206-0310,0.081839,10.275,10.124240977437166,-0.20787231315885188,,111.95314917140381,331.56058533,-9.62998157,1.541,4.37,0.52,5.73,331.56058,-9.62998,0.019743891515189516
spec-0718-52206-0432,0.05686896,10.829,10.14874102172311,0.3054338691276417,0.109985220277368,148.69873130258893,332.12451526,-7.62672647,1.103,4.22,0.31,4.99,332.12451,-7.62673,0.02266604026390306
spec-0718-52206-0436,0.05530354,10.708,10.151950807290715,0.18996581330086745,0.128301557776796,127.67245008684085,332.06745124,-7.57218033,1.074,4.41,0.35,5.79,332.06745,-7.57218,0.004581769386571152
spec-0718-52206-0504,0.0576627,10.045,10.12430979860568,0.07166599049403967,0.0047538041654477,80.41321516675544,332.18772304,-7.6241482,1.117,2.82,0.07,7.28,332.18772,-7.62415,0.012635397503720804
spec-0720-52206-0027,0.08815351,11.154,10.143587403296612,0.2076603650717337,0.227867840811542,181.569946796453,337.15280971,-8.93105249,1.649,5.99,0.23,3.37,337.15281,-8.93105,0.009023134899287178
spec-0720-52206-0051,0.07177484,10.959,10.15273730799828,0.2962192276715806,-0.00523930712725645,167.686652106208,336.36631315,-9.77866866,1.368,5.36,0.14,3.71,336.36631,-9.77867,0.012171977624116927
spec-0720-52206-0074,0.08809935,10.803,10.128889550914334,0.23433801189720746,0.080399603379854,169.52219725554855,336.96866529,-8.8802682,1.648,3.8,0.57,4.24,336.96866,-8.88027,0.019900295630050857
spec-0720-52206-0165,0.08259615,11.133,9.967965462703571,0.23106306468661292,-0.538444228095787,207.18906151433015,335.74789976,-9.13369961,1.554,4.64,0.35,4.65,335.7479,-9.1337,0.001642833504422176
spec-0720-52206-0482,0.08145995,10.653,10.161703463727186,0.01997381727478336,0.224536582969239,130.04587745928055,336.02920284,-8.74721951,1.535,3.31,0.56,4.22,336.0292,-8.74722,0.010257894871843887
spec-0721-52228-0021,0.08110423,10.732,10.15657641450867,0.19174288246718674,-0.218902408801069,134.1986059001933,338.93807105,-9.09694596,1.529,3.61,0.08,5.71,338.93807,-9.09695,0.015015297689340571
spec-0721-52228-0089,0.08358768,10.704,9.97234384771863,-0.020199509798206828,0.0522150835267974,123.15374536943955,337.90514639,-10.16499862,1.571,7.48,0.84,2.02,337.90515,-10.165,0.013722847118886355
